season_id,archetype,games_won,games_played,game_win_rate
Season-4,Aggro,137,252,0.5436507936507936
Season-4,Aggro-Combo,40,68,0.5882352941176471
Season-4,Aggro-Control (Tempo),37,74,0.5
Season-4,Combo,175,368,0.47554347826086957
Season-4,Combo-Control,71,130,0.5461538461538461
Season-4,Control,126,252,0.5
Season-4,Control-Aggro (Midrange),42,104,0.40384615384615385
Season-5,Aggro,167,314,0.5318471337579618
Season-5,Aggro-Combo,30,69,0.43478260869565216
Season-5,Aggro-Control (Tempo),29,57,0.5087719298245614
Season-5,Combo,126,268,0.4701492537313433
Season-5,Combo-Control,36,67,0.5373134328358209
Season-5,Control,175,342,0.5116959064327485
Season-5,Control-Aggro (Midrange),71,149,0.47651006711409394
Season-All,Aggro,304,566,0.5371024734982333
Season-All,Aggro-Combo,70,137,0.5109489051094891
Season-All,Aggro-Control (Tempo),66,131,0.5038167938931297
Season-All,Combo,301,636,0.47327044025157233
Season-All,Combo-Control,107,197,0.5431472081218274
Season-All,Control,301,594,0.5067340067340067
Season-All,Control-Aggro (Midrange),113,253,0.44664031620553357
