season_id,scryfallId,games_played,games_won,game_win_rate
Season-4,60d0e6a6-629a-45a7-bfcb-25ba7156788b,597,579,0.9698492462311558
Season-4,cea3b218-0e6e-443a-84f7-380f1021e8e1,606,588,0.9702970297029703
Season-4,f9287151-95df-4f5a-b32a-4b0aea825452,109,105,0.963302752293578
Season-4,0adcd4e5-d542-4293-8774-ace2305ef820,380,369,0.9710526315789474
Season-4,0fb4c734-c698-46f2-bc78-5f036f472e5b,166,162,0.9759036144578314
Season-4,17260fff-b239-4af4-9306-3236ae3fa5a5,377,370,0.9814323607427056
Season-4,1f9fb33a-3b39-4aff-93b8-aedafe0ea694,438,426,0.9726027397260274
Season-4,2b5801fb-2026-4f25-98bc-ebb2f99684b9,329,323,0.9817629179331308
Season-4,2c695df6-6bf2-4e6b-8500-e3116137ca27,465,454,0.9763440860215054
Season-4,32aa6e33-221f-414c-9b51-850d97a7e051,389,379,0.974293059125964
Season-4,3ee3945e-5089-4751-b7b3-5961c39d2a33,379,369,0.9736147757255936
Season-4,5260f8ae-805b-4eae-badf-62de0f768867,153,150,0.9803921568627451
Season-4,652236c2-84ef-45e4-b5fc-ed6170bc3d6c,263,256,0.973384030418251
Season-4,6bcafc2e-cef6-412d-8c5d-1658c3337292,166,159,0.9578313253012049
Season-4,72c6d541-e2cb-4d6e-acac-90a8f53b7006,477,464,0.9727463312368972
Season-4,7740ff55-67bb-409e-90f7-2c2c8b8c770a,220,215,0.9772727272727273
Season-4,7b54447f-1daf-4352-b5c3-3c0ec8b8f4d0,226,218,0.9646017699115044
Season-4,7c59e0cd-10a8-4a32-9c0a-a2c6ef1ed9a6,268,264,0.9850746268656716
Season-4,9d48aaff-46ab-411b-9456-171d4709f951,422,411,0.9739336492890995
Season-4,b598c93e-dae1-4d71-a9e4-917abf76d2d0,333,324,0.972972972972973
Season-4,b841bfa8-7c17-4df2-8466-780ab9a4a53a,418,410,0.9808612440191388
Season-4,bf220c06-3cce-4bdd-aa58-83940c223e9c,264,256,0.9696969696969697
Season-4,c17816e8-28b1-4295-a637-efb0e5c18873,438,426,0.9726027397260274
Season-4,c78da035-6b5b-4136-9ab6-f622b64fdc54,466,457,0.98068669527897
Season-4,e419cd0b-2449-4cc5-9ead-b9e45e271700,254,248,0.9763779527559056
Season-4,f33d3948-fe7b-4c3b-ab67-1022623fbb2b,263,259,0.9847908745247148
Season-4,f5881bbc-8600-464d-9dcd-5a7780918d1d,376,367,0.976063829787234
Season-4,fc310a26-b6a0-4e42-98ab-bdfd7b06cb63,303,298,0.9834983498349835
Season-4,059164e1-894d-4586-9800-e60d6fbd6eb6,224,218,0.9732142857142857
Season-4,261ac92e-c61a-4c11-aa6a-9ae1cb703e5c,320,314,0.98125
Season-4,61a28870-cf78-4323-9d82-cee764067764,209,202,0.9665071770334929
Season-4,658cfcb7-81b7-48c6-9dd2-1663d06108cf,61,59,0.9672131147540983
Season-4,73cc6df4-3564-4ace-bf8a-eac3e62d725a,255,250,0.9803921568627451
Season-4,d58d3545-043a-457a-8324-facc3c2363ec,170,162,0.9529411764705882
Season-4,fd97b3cf-924e-4f77-bb82-0bf19592389f,274,266,0.9708029197080292
Season-4,01d1e394-1b0c-4b40-ba85-f55973703d41,256,249,0.97265625
Season-4,55d35442-5ca0-4fd7-8ff1-b7347b3e6690,319,311,0.9749216300940439
Season-4,69c1b656-1d67-499c-bf0f-417682a86c7d,213,205,0.9624413145539906
Season-4,1dd64b1d-bcef-476c-bf0b-3ac7df7cbed3,185,181,0.9783783783783784
Season-4,f6ca59cd-8779-4a84-a54b-e863b79c61f0,203,198,0.9753694581280788
Season-4,0783b426-a527-42c1-9271-be28b229e1c6,107,104,0.9719626168224299
Season-4,0fe070f4-8877-4280-b8fd-869f3ac34ab6,107,104,0.9719626168224299
Season-4,113f48b9-a972-4e2c-af95-05ab078e01f2,97,94,0.9690721649484536
Season-4,1e0c695d-62f9-4805-9e2f-7032e8464136,196,193,0.9846938775510204
Season-4,2487d124-210b-4808-888c-cd0a78aebd90,146,143,0.9794520547945206
Season-4,486d7edc-d983-41f0-8b78-c99aecd72996,196,193,0.9846938775510204
Season-4,4b0bd07e-cf80-4d64-af29-f4cec6632b3e,147,144,0.9795918367346939
Season-4,4e4b6e22-93b2-4896-bba5-0ceaa5d8ea3c,49,47,0.9591836734693877
Season-4,661fc907-7003-45c6-820c-9616e9a71c30,107,104,0.9719626168224299
Season-4,70496f16-c4c0-4c03-beef-454eb4824cd1,107,104,0.9719626168224299
Season-4,9b32531e-c759-4603-abd0-1724e8df70db,49,47,0.9591836734693877
Season-4,b3dd3c7d-4685-4579-b483-14ddaaaddf5b,195,191,0.9794871794871794
Season-4,c3b92caa-3401-4b11-9515-152f3e057c05,58,57,0.9827586206896551
Season-4,ca4c8b04-66af-4cb3-8003-9088d8344b20,89,87,0.9775280898876404
Season-4,d0e3e7b3-7ba9-47a2-b46c-a40bffb445e2,49,47,0.9591836734693877
Season-4,e2312c49-1627-47ad-8113-78a999a97d8d,244,240,0.9836065573770492
Season-4,f1e5cafb-b0e6-4ee5-8c58-6f8e5ef2b9da,204,200,0.9803921568627451
Season-4,f9246b68-580f-4f53-883d-7900880e4b0d,204,200,0.9803921568627451
