season_id,color,games_played,games_won,game_winrate,matches_played,matches_won,match_winrate
Season-4,B,447,250,0.5592841163310962,185,105,0.5675675675675675
Season-4,G,359,169,0.47075208913649025,149,64,0.42953020134228187
Season-4,R,434,223,0.5138248847926268,183,86,0.46994535519125685
Season-4,U,467,220,0.47109207708779444,196,83,0.42346938775510207
Season-4,W,450,223,0.4955555555555556,191,83,0.43455497382198954
Season-5,B,75,28,0.37333333333333335,31,9,0.2903225806451613
Season-5,G,51,22,0.43137254901960786,21,7,0.3333333333333333
Season-5,R,81,47,0.5802469135802469,34,19,0.5588235294117647
Season-5,U,93,48,0.5161290322580645,40,21,0.525
Season-5,W,83,43,0.5180722891566265,35,16,0.45714285714285713
Season-All,B,522,278,0.5325670498084292,216,114,0.5277777777777778
Season-All,G,410,191,0.4658536585365854,170,71,0.4176470588235294
Season-All,R,515,270,0.5242718446601942,217,105,0.4838709677419355
Season-All,U,560,268,0.4785714285714286,236,104,0.4406779661016949
Season-All,W,533,266,0.49906191369606,226,99,0.43805309734513276
