season_id,decktype,games_won,games_played,game_winrate
Season-4,Artifacts,27.0,81.0,0.3333333333333333
Season-4,Artifacts Control,4.0,17.0,0.23529411764705882
Season-4,Azorius Blink,15.0,39.0,0.38461538461538464
Season-4,Azorius Control,11.0,27.0,0.4074074074074074
Season-4,Azorius Tempo,6.0,18.0,0.3333333333333333
Season-4,Birthing Pod,14.0,20.0,0.7
Season-4,Birthing Pod Combo-Control,5.0,11.0,0.45454545454545453
Season-4,Boros Aggro,69.0,130.0,0.5307692307692308
Season-4,Combo Lands,16.0,31.0,0.5161290322580645
Season-4,Combo Mix,20.0,41.0,0.4878048780487805
Season-4,Combo-Control Lands,19.0,41.0,0.4634146341463415
Season-4,Dimir Tempo,8.0,10.0,0.8
Season-4,Domain Control,26.0,51.0,0.5098039215686274
Season-4,Draw 7,14.0,30.0,0.4666666666666667
Season-4,Draw 7 Combo-Control,9.0,18.0,0.5
Season-4,Esper Control,2.0,8.0,0.25
Season-4,Esper Tempo,4.0,10.0,0.4
Season-4,Flash,6.0,11.0,0.5454545454545454
Season-4,Golgari Midrange,5.0,19.0,0.2631578947368421
Season-4,Greenbased Aggro-Combo,33.0,63.0,0.5238095238095238
Season-4,Grixis Control,17.0,31.0,0.5483870967741935
Season-4,Gruul Aggro,22.0,37.0,0.5945945945945946
Season-4,Izzet Tempo,7.0,11.0,0.6363636363636364
Season-4,Jeskai Control,4.0,8.0,0.5
Season-4,Jund Midrange,12.0,21.0,0.5714285714285714
Season-4,Lurrus Combo-Control,14.0,21.0,0.6666666666666666
Season-4,Lurrus Control,25.0,47.0,0.5319148936170213
Season-4,Mardu Midrange,6.0,10.0,0.6
Season-4,Nadu Combo-Control,6.0,10.0,0.6
Season-4,Nadu Midrange,7.0,19.0,0.3684210526315789
Season-4,Orzhov Control,8.0,8.0,1.0
Season-4,Orzhov Tempo,5.0,10.0,0.5
Season-4,Rakdos Aggro,17.0,38.0,0.4473684210526316
Season-4,Rakdos Aggro-Combo,7.0,9.0,0.7777777777777778
Season-4,Reanimator,38.0,86.0,0.4418604651162791
Season-4,Reanimator Combo-Control,5.0,11.0,0.45454545454545453
Season-4,Reanimator-Flash,3.0,10.0,0.3
Season-4,Reanimator-Sneak,12.0,18.0,0.6666666666666666
Season-4,Red Aggro,10.0,18.0,0.5555555555555556
Season-4,Selesnya Aggro,4.0,10.0,0.4
Season-4,Selesnya Midrange,12.0,38.0,0.3157894736842105
Season-4,Simic Tempo,7.0,18.0,0.3888888888888889
Season-4,Sneak Attack,6.0,10.0,0.6
Season-4,Sneak and Flash,6.0,10.0,0.6
Season-4,Splinter-Twin,13.0,20.0,0.65
Season-4,Storm,27.0,50.0,0.54
Season-4,White Aggro,15.0,29.0,0.5172413793103449
Season-5,Artifacts,13.0,20.0,0.65
Season-5,Azorius Blink,2.0,10.0,0.2
Season-5,Azorius Combo Control,5.0,10.0,0.5
Season-5,Azorius Control,5.0,9.0,0.5555555555555556
Season-5,Birthing Pod,5.0,11.0,0.45454545454545453
Season-5,Boros Aggro,16.0,27.0,0.5925925925925926
Season-5,Draw 7,5.0,10.0,0.5
Season-5,Draw 7 Combo-Control,2.0,9.0,0.2222222222222222
Season-5,Greenbased Aggro-Combo,4.0,8.0,0.5
Season-5,Gruul Aggro,7.0,12.0,0.5833333333333334
Season-5,Izzet Control,2.0,10.0,0.2
Season-5,Izzet Tempo,6.0,10.0,0.6
Season-5,Landfall,3.0,11.0,0.2727272727272727
Season-5,Lifeloss Control,5.0,19.0,0.2631578947368421
Season-5,Mardu Aggro,6.0,12.0,0.5
Season-5,Reanimator,10.0,19.0,0.5263157894736842
Season-5,Selesnya Aggro,4.0,9.0,0.4444444444444444
Season-5,Sneak and Show,7.0,7.0,1.0
Season-5,Storm,6.0,11.0,0.5454545454545454
Season-All,Artifacts,40.0,101.0,0.39603960396039606
Season-All,Artifacts Control,4.0,17.0,0.23529411764705882
Season-All,Azorius Blink,17.0,49.0,0.3469387755102041
Season-All,Azorius Combo Control,5.0,10.0,0.5
Season-All,Azorius Control,16.0,36.0,0.4444444444444444
Season-All,Azorius Tempo,6.0,18.0,0.3333333333333333
Season-All,Birthing Pod,19.0,31.0,0.6129032258064516
Season-All,Birthing Pod Combo-Control,5.0,11.0,0.45454545454545453
Season-All,Boros Aggro,85.0,157.0,0.5414012738853503
Season-All,Combo Lands,16.0,31.0,0.5161290322580645
Season-All,Combo Mix,20.0,41.0,0.4878048780487805
Season-All,Combo-Control Lands,19.0,41.0,0.4634146341463415
Season-All,Dimir Tempo,8.0,10.0,0.8
Season-All,Domain Control,26.0,51.0,0.5098039215686274
Season-All,Draw 7,19.0,40.0,0.475
Season-All,Draw 7 Combo-Control,11.0,27.0,0.4074074074074074
Season-All,Esper Control,2.0,8.0,0.25
Season-All,Esper Tempo,4.0,10.0,0.4
Season-All,Flash,6.0,11.0,0.5454545454545454
Season-All,Golgari Midrange,5.0,19.0,0.2631578947368421
Season-All,Greenbased Aggro-Combo,37.0,71.0,0.5211267605633803
Season-All,Grixis Control,17.0,31.0,0.5483870967741935
Season-All,Gruul Aggro,29.0,49.0,0.5918367346938775
Season-All,Izzet Control,2.0,10.0,0.2
Season-All,Izzet Tempo,13.0,21.0,0.6190476190476191
Season-All,Jeskai Control,4.0,8.0,0.5
Season-All,Jund Midrange,12.0,21.0,0.5714285714285714
Season-All,Landfall,3.0,11.0,0.2727272727272727
Season-All,Lifeloss Control,5.0,19.0,0.2631578947368421
Season-All,Lurrus Combo-Control,14.0,21.0,0.6666666666666666
Season-All,Lurrus Control,25.0,47.0,0.5319148936170213
Season-All,Mardu Aggro,6.0,12.0,0.5
Season-All,Mardu Midrange,6.0,10.0,0.6
Season-All,Nadu Combo-Control,6.0,10.0,0.6
Season-All,Nadu Midrange,7.0,19.0,0.3684210526315789
Season-All,Orzhov Control,8.0,8.0,1.0
Season-All,Orzhov Tempo,5.0,10.0,0.5
Season-All,Rakdos Aggro,17.0,38.0,0.4473684210526316
Season-All,Rakdos Aggro-Combo,7.0,9.0,0.7777777777777778
Season-All,Reanimator,48.0,105.0,0.45714285714285713
Season-All,Reanimator Combo-Control,5.0,11.0,0.45454545454545453
Season-All,Reanimator-Flash,3.0,10.0,0.3
Season-All,Reanimator-Sneak,12.0,18.0,0.6666666666666666
Season-All,Red Aggro,10.0,18.0,0.5555555555555556
Season-All,Selesnya Aggro,8.0,19.0,0.42105263157894735
Season-All,Selesnya Midrange,12.0,38.0,0.3157894736842105
Season-All,Simic Tempo,7.0,18.0,0.3888888888888889
Season-All,Sneak Attack,6.0,10.0,0.6
Season-All,Sneak and Flash,6.0,10.0,0.6
Season-All,Sneak and Show,7.0,7.0,1.0
Season-All,Splinter-Twin,13.0,20.0,0.65
Season-All,Storm,33.0,61.0,0.5409836065573771
Season-All,White Aggro,15.0,29.0,0.5172413793103449
