archetype,decktype,player,quantity,scryfallId
Aggro,Selesnya Aggro,Andrin,1,fe964e7e-e2c5-4263-889d-0a531eb51442
Aggro,Selesnya Aggro,Andrin,1,784287c2-43c5-4210-93ae-cdd33b9acb1b
Aggro,Selesnya Aggro,Andrin,1,1dd64b1d-bcef-476c-bf0b-3ac7df7cbed3
Aggro,Selesnya Aggro,Andrin,1,30377bf0-d9b1-4c14-8dde-f74b1e02d604
Aggro,Selesnya Aggro,Andrin,1,6a058e68-70af-4a64-859c-c881e5578368
Aggro,Selesnya Aggro,Andrin,1,73a065e3-b530-4e62-ab3c-4f6f908184ec
Aggro,Selesnya Aggro,Andrin,1,b83cfbaa-7890-4f6f-878b-4edb45677371
Aggro,Selesnya Aggro,Andrin,1,340c5799-4964-44dd-8c48-8f3f3aba5211
Aggro,Selesnya Aggro,Andrin,1,b34bf7fd-9fe3-43e2-8cfe-7ce7cff08afe
Aggro,Selesnya Aggro,Andrin,1,19018f23-b63b-45af-8419-8959f41472d4
Aggro,Selesnya Aggro,Andrin,1,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a
Aggro,Selesnya Aggro,Andrin,1,4e4b6e22-93b2-4896-bba5-0ceaa5d8ea3c
Aggro,Selesnya Aggro,Andrin,1,c17816e8-28b1-4295-a637-efb0e5c18873
Aggro,Selesnya Aggro,Andrin,1,825969b9-3c70-4fca-8cab-696e9ca7cdb2
Aggro,Selesnya Aggro,Andrin,1,f33d3948-fe7b-4c3b-ab67-1022623fbb2b
Aggro,Selesnya Aggro,Andrin,1,8e42df9e-95f2-4c79-9274-2d16e3cd91f1
Aggro,Selesnya Aggro,Andrin,1,a178cfe8-f9fa-4255-88d0-54a0bed079f5
Aggro,Selesnya Aggro,Andrin,1,21c950d7-b4f6-4902-8c9a-98f2933f9fa5
Aggro,Selesnya Aggro,Andrin,1,400382a4-aea2-4827-b06a-1b0b3745908b
Aggro,Selesnya Aggro,Andrin,1,ee8e9928-d9b2-4570-adb8-44b34115decd
Aggro,Selesnya Aggro,Andrin,1,d2e27911-87cb-49a0-a34f-6afe4bddd592
Aggro,Selesnya Aggro,Andrin,1,73cc6df4-3564-4ace-bf8a-eac3e62d725a
Aggro,Selesnya Aggro,Andrin,1,773199f9-c83b-4a77-8342-9f1552ecf595
Aggro,Selesnya Aggro,Andrin,1,22c26e44-e129-4c4d-b552-3cc8774ce1a4
Aggro,Selesnya Aggro,Andrin,1,eeeffc0b-dc92-458e-ad58-86ff6077a508
Aggro,Selesnya Aggro,Andrin,1,0eee981e-5d26-4810-90e1-432f3c3107f2
Aggro,Selesnya Aggro,Andrin,1,0055ea30-20fb-4324-a632-8fed87628f05
Aggro,Selesnya Aggro,Andrin,1,ec3de5f4-bb55-4ab9-995f-f3e0dc22c1bb
Aggro,Selesnya Aggro,Andrin,1,2d9b12cc-f616-4b52-91eb-a430e70f9251
Aggro,Rakdos Aggro,Dimlas,1,69490262-afc2-4692-8fac-b771a972c8f8
Aggro,Rakdos Aggro,Dimlas,1,e9a268ba-c442-4fe4-90b4-2810c8474f4e
Aggro,Rakdos Aggro,Dimlas,1,b6cb2549-e485-44d6-9d65-7605c568909e
Aggro,Rakdos Aggro,Dimlas,1,1834ac92-8b4e-4442-a834-acd580e1ef99
Aggro,Rakdos Aggro,Dimlas,1,261ac92e-c61a-4c11-aa6a-9ae1cb703e5c
Aggro,Rakdos Aggro,Dimlas,1,9b911653-7b96-4cf3-a907-13c5c53a14f7
Aggro,Rakdos Aggro,Dimlas,1,9721f8da-39ed-4ada-a571-61e08a86032b
Aggro,Rakdos Aggro,Dimlas,1,7c884e1e-fecb-4330-b3de-5fc2a60f7173
Aggro,Rakdos Aggro,Dimlas,1,bb41ff5c-9617-4033-a4fa-99323640b9c3
Aggro,Rakdos Aggro,Dimlas,1,e4e6794a-feeb-4fc8-a2ee-38c75c18aaae
Aggro,Rakdos Aggro,Dimlas,1,a6539e26-b63b-4725-9407-caaf451de084
Aggro,Rakdos Aggro,Dimlas,1,cb94a02f-4660-45b6-8a39-941b710cf8f3
Aggro,Rakdos Aggro,Dimlas,1,396bca07-82ba-49b7-b79e-7784b3a06d48
Aggro,Rakdos Aggro,Dimlas,1,006d2bf1-20f7-4b09-8d98-8233d91682bd
Aggro,Rakdos Aggro,Dimlas,1,05cf51d8-9f91-42ff-99e9-4397f2251c20
Aggro,Rakdos Aggro,Dimlas,1,310a1c46-8331-4a09-9fcb-d942f8102364
Aggro,Rakdos Aggro,Dimlas,1,3faa8c5e-9e1b-4cee-b322-a033bf33dcbc
Aggro,Rakdos Aggro,Dimlas,1,493a5ca7-5f90-4af4-b6db-43ae09a2f2c9
Aggro,Rakdos Aggro,Dimlas,1,ebeafbc2-0399-4335-8f63-76a3e085e8c6
Aggro,Rakdos Aggro,Dimlas,1,3ee3945e-5089-4751-b7b3-5961c39d2a33
Aggro,Rakdos Aggro,Dimlas,1,026e7167-d665-43d0-a51e-8df2d68cdb5e
Aggro,Rakdos Aggro,Dimlas,1,e6befbc4-1320-4f26-bd9f-b1814fedda10
Aggro,Rakdos Aggro,Dimlas,1,d0e3e7b3-7ba9-47a2-b46c-a40bffb445e2
Aggro,Rakdos Aggro,Dimlas,1,377cee38-e769-47b0-abd5-0f528600f36a
Aggro,Rakdos Aggro,Dimlas,1,0f7585c8-9e21-4eef-afc1-2852de23db2f
Aggro,Rakdos Aggro,Dimlas,1,24c0d87b-0049-4beb-b9cb-6f813b7aa7dc
Aggro,Rakdos Aggro,Dimlas,1,005dae9a-dddc-4a11-95bb-cce319edcce4
Aggro,Rakdos Aggro,Dimlas,1,f0192cf7-3391-4720-b9c8-72dec5dde01e
Aggro-Combo,Red Aggro Strom,Ivo,1,0a26d900-c652-4f9c-8681-a35c5f8b1937
Aggro-Combo,Red Aggro Strom,Ivo,1,3277ad99-5682-4baa-b106-de15721876a6
Aggro-Combo,Red Aggro Strom,Ivo,1,3a2d7cf9-dddb-4de3-b4f2-c52e3ec8fb4b
Aggro-Combo,Red Aggro Strom,Ivo,1,4ced112a-e775-4f97-97b3-74877e9dce12
Aggro-Combo,Red Aggro Strom,Ivo,1,490eb213-9ae2-4b45-abec-6f1dfc83792a
Aggro-Combo,Red Aggro Strom,Ivo,1,aaae15dd-11b6-4421-99e9-365c7fe4a5d6
Aggro-Combo,Red Aggro Strom,Ivo,1,a3bb2881-e8fb-4fba-a9f9-d93e6ca24378
Aggro-Combo,Red Aggro Strom,Ivo,1,99ff731b-8399-40c8-b539-ba6ba5783771
Aggro-Combo,Red Aggro Strom,Ivo,1,7832abb5-5107-4603-904e-491b221bd3e3
Aggro-Combo,Red Aggro Strom,Ivo,1,0d60eabe-b281-4eba-9c26-287364ed2067
Aggro-Combo,Red Aggro Strom,Ivo,1,68c72226-6f52-4322-8b14-18737293dfa0
Aggro-Combo,Red Aggro Strom,Ivo,1,fa87bf1e-2062-4983-b1c4-98bffea69a4c
Aggro-Combo,Red Aggro Strom,Ivo,1,758f95f8-bcb0-43ae-b474-56ebd855951e
Aggro-Combo,Red Aggro Strom,Ivo,1,0fe070f4-8877-4280-b8fd-869f3ac34ab6
Aggro-Combo,Red Aggro Strom,Ivo,1,32aa6e33-221f-414c-9b51-850d97a7e051
Aggro-Combo,Red Aggro Strom,Ivo,1,31b770cc-09e7-4c0b-b2a4-462ab4f7200d
Aggro-Combo,Red Aggro Strom,Ivo,1,ed0216a0-c5c9-4a99-b869-53e4d0256326
Aggro-Combo,Red Aggro Strom,Ivo,1,17260fff-b239-4af4-9306-3236ae3fa5a5
Aggro-Combo,Red Aggro Strom,Ivo,1,c8f0b123-fdb0-4f3e-ba78-fa155c227e20
